Document,Pan_2023,Zhang_Jun-2024,Jiang_2024,Wan_Jun2024,Hóu_2025,Li_Jul-2025,Keber_2024,Khan_2025,Colelough_2025,Petruzzellis_2025,Simon Alford_2021,Hitzler_2022,ZHANG_2024,He_2025,Wang_2022,Wan_May2024,Wan_Sep2024,Wan_Mar2025,Wan_2025,Riegel_2022,Feldstein_2024,Garzes_2020,Liu_2025,Banayeeanzade_2025,Ibrahim_2024,Oltramari_2023,Bai_2025,Raedt_2020,Archarga_2023,Aspis_2022,Chen_2025,Delvecchio_2024,Sharifi_2025,Tsamaura_2020,Yang_2025,Wang_2024,Gibaut_2023,Edwards_2024,Karpas_2022,Liu_2024,Mamuni_2025,Peng_2021,Shivadekar_2025,Spivak_2024,Gonzales_2025,Huang_2025,Hamilton_2022,Gaur_2022,Romero_2023,Thomas_2022,Shin_2024,Wang_2025,Pawar_2024,Castillo-Lopez_2025,Qian_2024,Wang_Mar-2024,Kim_2024,Li_2025,Chow_2023,Ahmed_2024,Kanani_2025,Ahmad_2025
Year,2023,2024,2024,2-Jan-24,abr 2025,jul 2025,2024,2025,2025,2025,2021,2022,2024,2025,2022,2024,2024,2025,2025,2020,2024,2023,2025,2025,2024,2023,2025,2020,2023,2022,2025,2024,2025,2020,2025,2024,2023,2024,2022,2024,2025,2021,2025,2024,2025,2025,2022,2022,2023,2022,2024,2025,2024,2025,2024,2024,2024,2025,2023,2025,2025,2024
Domain,Logical Reasoning,"Knowledge 
Reasoning",Rationality,Cognitive AI Systems (NSAI),NeSy AI general state-of-art,Logical Reasoning,NSAI and NLP,LLM Advances,Neuro-symbolic AI general state-of-art,sequence-based rewriting problems (Razonamiento Algorítmico / Matemático),Abstraction and Reasoning,AI Approaches,Explicability,Cognitive Memory,Neuro-Symbolic Computing,"co-diseño hardware-software
","co-diseño hardware-software
","co-diseño hardware-software
","co-diseño hardware-software
",NeSy integrated system,NeSy Architectures,Neuro-symbolic AI general state-of-art,CoT fine-tuning y cognición humana,NeSy Continual Learnig,Cómputo NeSy-LLM centrado en memoria,Cognitive Reasoning - Hight Level Reasoning,Retroalimentación en agentes con LLM,Probabilidades vs Lógica,Reinforment Learning & Planing,Escalabilidad en razonamiento neuro-simbólico,Healthcare,Task Directed NeSy,Autonomous Driving,NeSy Compositional Perspective,NeSy's Hardware Aceleration,Continual Learning,Taxonomy NeSy,Neurocience - Theory of Mind,Modular NeSy Systems,Kwoleadge Graph - NeSy,Cognitive Principles for GAI,Meta-Learnig,Cognitive GAI,Cognitive AI,Planning (LLMs),Multi-intent Detection,NeSy-NLP Structure,Knowledge-Infused Learning,LLM and CA,Semantic Comunication,prompts semantic clarity,Colaborative Intent Detection,Intent Detection,Intent Detection,Intent Detection,Intent Detection,Web navegation by Intent Detection,Multimodal Intent Detection,Multilingual Intent Detection,GUI Intent Detection,Intent Detection (history),Intent Detection
Title,LOGIC-LM: Empowering Large Language Models with Symbolic Solvers for Faithful Logical Reasoning,"CHAIN-OF-KNOWLEDGE: Integrating Knowledge Reasoning into Large
Language Models by Learning from Knowledge Graphs",Towards Rationality in Language and Multimodal Agents: A Survey,Towards Cognitive AI Systems: A Survey and Prospective on Neuro-Symbolic AI,"Neural-Symbolic Reasoning: Towards the
Integration of Logical Reasoning with Large
Language Models",Empowering LLMs with Logical Reasoning: A Comprehensive Survey,"A Review on Neuro-symbolic AI Improvements
to Natural Language Processing","Advances in LLMs with Focus on Reasoning, Adaptability,
Efficiency, and Ethics",Neuro-Symbolic AI in 2024: A Systematic Review,"Learning neuro-symbolic convergent term rewriting
systems",A Neurosymbolic Approach to Abstraction and Reasoning,Neuro-symbolic approaches in artificial intelligence,"Neuro-Symbolic AI: Explainability, Challenges, and Future Trends",Human-inspired Perspectives: A Survey on AI Long-term Memory,"Towards Data-and Knowledge-Driven AI: A Survey on Neuro-Symbolic Computing
",Towards Cognitive AI Systems: Workload and Characterization of Neuro-Symbolic AI,"Towards Efficient Neuro-Symbolic AI: From Workload Characterization to Hardware Architecture
","CogSys: Efficient and Scalable Neurosymbolic
Cognition System via Algorithm-Hardware Co-Design","Efficient Processing of Neuro-Symbolic AI: A Tutorial and
Cross-Layer Co-Design Case Study",Logical Neural Networks,"Mapping the Neuro-Symbolic AI Landscape by
Architectures: A Handbook on Augmenting Deep Learning
Through Symbolic Reasoning",Neurosymbolic AI: The 3rd Wave,"Putting on the Thinking Hats: A Survey on Chain
of Thought Fine-tuning from the Perspective of
Human Reasoning Mechanism","Hybrid Learners Do Not Forget: A Brain-Inspired
Neuro-Symbolic Approach to Continual Learning","Neuro-Symbolic Architecture Meets Large
Language Models: A Memory-Centric Perspective",Enabling High-Level Machine Reasoning with Cognitive Neuro-Symbolic Systems,A Survey on the Feedback Mechanism of LLM-based AI Agents,From Statistical Relational to Neuro-Symbolic Artificial Intelligence,"Neurosymbolic Reinforcement Learning and
Planning: A Survey",Embed2Sym - Scalable Neuro-Symbolic Reasoning via Clustered Embeddings,"A Study on Neuro-Symbolic Artificial Intelligence:
Healthcare Perspectives","Neuro-Symbolic Artificial Intelligence:
A Task-Directed Survey in the Black-Box Models Era",Towards Safe Autonomous Driving Policies using a Neuro-Symbolic Deep Reinforcement Learning approach,Neural-Symbolic Integration: A Compositional Perspective,"NSFlow: An End-to-End FPGA Framework with Scalable
Dataflow Architecture for Neuro-Symbolic AI","A Comprehensive Survey of Continual Learning:
Theory, Method and Application",Neuro Symbolic AI and its Taxonomy: A Survey,"A functional contextual, observer-centric, quantum mechanical, and neuro-symbolic approach to solving the alignment problem of artificial general intelligence: safe AI through intersecting computational psychological neuroscience and LLM architecture for emergent theory of mind","MRKL Systems
A modular, neuro-symbolic architecture that combines large language
models, external knowledge sources and discrete reasoning","Neural-Symbolic Reasoning over Knowledge Graphs:
A Survey from a Query Perspective","Large language models for artificial general
intelligence (AGI): A survey of foundational
principles and approaches",A Brief Survey of Assocuations Between Meta-Learning and General AI,"Artiﬁcial Intelligence for
Cognitive Systems: Deep
Learning, Neuro- symbolic
Integration, and Human-
Centric Intelligence","Cognition is All You Need
The Next Layer of AI Above Large Language Models","PLAN-GRAIL: mejorando la correctitud sintáctica y semántica
de agentes basados en LLMs para modelación de
problemas de planificación","MIDLM: Multi-Intent Detection with Bidirectional Large
Language Models","Is Neuro-Symbolic AI Meeting its Promise in
Natural Language Processing? A Structured
Review","Knowledge-Infused Learning: A Sweet Spot
in Neuro-Symbolic AI","Synergistic Integration of Large Language Models and Cognitive Architectures
for Robust AI: An Exploratory Analysis","Neuro-Symbolic Artificial Intelligence (AI) for
Intent based Semantic Communication","Exploring the Use of Natural Language Descriptions of Intents
for Large Language Models in Zero-shot Intent Classification",On Collaborating Small and Large Models for Few-shot Intent Detection,EARL: Early Intent Recognition in GUI Tasks Using Theory of Mind,"Intent Recognition and Out-of-Scope Detection using LLMs
in Multi-party Conversations","Tell Me More! Towards Implicit User Intention Understanding of
Language Model Driven Agents","Beyond the Known: Investigating LLMs Performance on
Out-of-Domain Intent Detection","Auto-Intent: Automated Intent Discovery and Self-Exploration
for Large Language Model Web Agents",Deep Learning Approaches for Multimodal Intent Recognition: A Survey,"On Leveraging Large Language Models for Multilingual
Intent Discovery","Multi-Intent Recognition in Dialogue
Understanding: A Comparison Between Smaller
Open-Source LLMs","The Evolution of Intent Detection: Deep
Learning-Based Paradigms for Natural Language
Understanding","Leveraging Large Language
Models for Latent Intention
Recognition and Next Action
Prediction"
Survey,,,x,x,x,x,x,x,x,,,x,x,x,x,x,x,,,,x,x,x,,x,x,x,x,x,,x,x,,x,,x,x,x,,x,x,x,x,x,,,x,,x,,x,,,,,x,,x,,,x,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aproches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neural Propose → Symbolic Verify (Sequential Pipeline),x,,,x,x,x,,,,,,,x,,x,x,x,x,x,,x,x,x,,,x,,,x,,x,x,x,,x,,x,x,x,x,x,,x,x,x,,x,,,,,,x,,,,,x,,,,
Symbolic Scaffold → Neural Fill (Structural Decomposition),,,,,x,x,,,,,,,x,,,x,x,,x,,x,x,x,x,x,x,,,x,,x,x,x,,,,,,,x,,,x,x,,,x,,x,,,,,,,,,,,x,,
Joint Neural+Symbolic Inference (End-to-End Integration),,,,x,x,x,,,,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,,,,x,x,,x,x,x,,,,,,,x,,,,,,x,x,x,,x,,x,,,,,,x,,,x,
Multi-Agent or Modular Systems (Parallel Integration),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,x,x,x,x,x,x,x,,x,x,x,x,x,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aproches & Integración (Taxonomía de Kautz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Symbolic Neuro Symbolic (Type 1, Simple I/O)",,,,x,x,x,x,x,,,,x,,,x,x,x,,x,,,x,,,,,,,x,,x,,,,,,,,,,,,,,,x,x,,,,x,,,,,x,,,x,,,
"Symbolic[Neuro] (Type 2, Subroutines)",,,,x,x,x,,x,,,,x,,x,x,x,x,,x,,,x,x,,,x,x,,x,,x,,,,,,x,,,,x,x,x,,,,x,,,,,,,,,,,,,,,
"Neuro|Symbolic (Type 3, Coroutines/Collaboration)",x,x,,,x,x,x,x,x,x,,,x,x,x,x,x,x,x,,x,x,x,x,x,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,x,x,,x,x,x,x,,x,x,,x,,
"Neuro: Symbolic→Neuro (Type 4, Symbolic Compilation)",,,,x,x,x,x,,,,x,x,x,,x,x,x,,x,x,x,x,,x,,x,,x,x,,x,,,,,,,,,,,,x,,,,x,,x,,,,,,,,,,,,,
"NeuroSYMBOLIC (Type 5, Symbolic Loss/Constraints)",,,,x,x,x,x,,,,,x,x,,x,x,x,,x,x,x,x,x,x,,,,x,x,,x,x,,x,,x,x,,,x,x,,,,,,x,x,,x,,,,,,,,x,,x,,
"Neuro[Symbolic] (Type 6, Full Hybridization)",,,x,x,x,,,,x,,,x,x,,x,x,x,x,x,x,x,x,,,,,,,x,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning & Strategy Mechanisms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thought (CoT, ToT, GoT, DoT)",,x,,,,x,,x,x,,,,x,x,,x,,,,,,,x,,,x,x,,,,,,,,x,,,x,x,x,x,,x,x,x,,,,x,,,x,x,,x,x,x,x,x,x,,x
Chain-of-Action,x,,x,,x,x,,,,x,x,,x,x,x,x,x,x,x,,,,x,,x,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,x,x,,,,
Training,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,,x,x,x,,x,x,x,,x,x,x,x,x,x,x,x,x,,x,x,x,x
use Knowledge Graph,,x,,x,x,x,x,,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,,x,,,,,,x,,,x,x,,x,x,,,x,x,,x,,,,,,,,x,,,,
use Search/Exploration methods,x,x,,x,x,x,,,,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,,x,x,x,,,x,x,x,x,x,x,,,,,,,,x,,,,x,,,,,
Symbolic Formulation,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,,x,,x,x,,,,,,,,,,,,
"external deterministic 
Solver",x,,,x,x,x,,,,,,,x,,x,x,x,x,x,x,x,x,x,,,x,,x,x,x,x,x,,,,,,,x,,x,,x,x,,,,,,,,,,,,,,,,,,
In Context Learning,x,,x,,x,,,x,,,x,,,x,,,,,,,,,,,,,x,,,,,,,,,x,,,x,,x,x,,x,x,,x,,,,x,x,x,x,x,x,x,x,x,x,x,x
Self-Refinement,x,x,x,x,x,x,,,x,x,x,,x,x,x,x,,x,x,,x,x,x,x,x,x,x,,x,,x,x,,x,,x,,,,,x,x,x,x,x,,,,,,,,x,,x,,,,,,x,
Rule-base interpreter,x,,,x,x,x,x,,,x,x,,x,x,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,x,x,,,,,,,,,,,,,
LLM-base interpreter,x,,,,x,x,,x,,,,,x,x,,,,,,,,,,,,,,,x,,,,,,,,,,x,x,x,,,x,,,,x,x,,,,,,,,,,,,,
LLM problem solving,x,x,x,x,x,x,,x,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLM probl representation,x,x,x,,x,x,,x,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,x,x,x,,,x,x,,,,,,,,,,,,,,,,,
Behavior Learning,,x,,x,,,,,,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,x,x,x,,,x,x,x,,x,x,,x,x,,,,,,,,,,,,,,,,,x,
"symbolic agent that 
Search the rules",,x,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Process Knowledge,,,,,x,,,,,x,,,,x,,,,,,,,x,x,,,x,,,x,,x,,,,,,,,,,x,,,x,x,x,x,x,,x,,,x,x,x,,x,x,,x,x,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memory & Meta-Cog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memory: Parametric (Stored in Weights),,,,,x,x,x,x,,,,,x,X,x,x,x,x,x,x,x,x,x,x,,,x,,,x,,,,,x,x,x,,,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,,x,,,x
Memory: Non-Parametric (External/RAG/DB),,,,,,x,x,x,,,,,x,X,x,x,x,x,x,x,x,x,,x,x,x,x,,,,,,,,x,x,,,x,x,x,x,x,x,x,,,x,,,,,,,,,,,,,,
Meta-Cognition / Self-Monitoring (Monitor/Evaluate/Adjust),x,x,,x,,x,,,x,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,x,x,x,x,,x,,x,x,,x,x,x,x,x,,,x,x,,,x,x,x,x,,x,x,,,x,
Active Forgetting,,,,,,,,,x,,x,,x,X,,,,,,x,,,,,,,,,,,,,,,,x,,,,,x,x,,,,,,,,,,,,,,,,,,,,
Omnidirectional/Bidirectional Inference,x,,,x,,,,,,,x,,,,,x,x,x,,x,x,x,x,,x,,,,x,,x,,,x,,,x,,,,x,,,,,x,x,,,,,,x,,,,,,,x,,
Bounded Rationality,,x,,,,,,,,,,,,,,,,,,x,,,x,x,x,x,,x,,,x,,x,,,x,,x,,,x,,x,x,,,,,x,,x,x,x,x,x,,x,x,x,x,x,
Trace-based Grounding,,x,,,x,,,,,,x,,,,,,,,,,x,x,x,,,x,,x,x,x,x,x,x,x,,,x,,,,x,,,,x,,,,,,,,x,,x,,,,,x,,
Theory of Mind Reasoning,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,x,x,,x,,,,x,x,x,,,,x,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
external tools,x,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
programming code,x,,x,x,,,,,,,x,,x,x,x,x,x,x,x,x,x,x,x,,,x,x,,x,,x,x,x,,x,,x,x,,,x,,,x,x,,,,,,,,,,x,,,,,,,
symbolic resoners,x,,x,x,x,x,x,,x,,x,x,x,x,x,x,x,x,x,,x,x,x,,,x,,,x,x,x,x,x,x,x,,x,x,x,x,x,,x,x,x,,,,,,,,,,x,,,,,,,
multimodal agents,,,x,,,,x,x,,,x,,x,x,x,,x,,,,,,x,,,,x,,x,,x,x,x,,,,x,x,x,,x,,x,x,,,,,,x,,,x,,x,,,x,,,x,
multi-agent systems,,x,x,x,x,,,x,x,,,,x,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,x,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
axioms of rationality,,,obtain from,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Grounding,,,x,,x,,,,,,,,,,x,,,,,x,,x,x,x,x,x,,x,x,x,x,x,x,,x,,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,,x
Logical Consistency,x,,x,x,x,x,x,,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,,x,x,x,x,x,x,x,x,x,,,,,x,,,,,,,,x,,x,,
Invariance from Irrelevant Context,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,x,,,,,,,,,,x,
Orderability of Preference,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
Explicit Intermediate Representation (Transparency),x,x,,x,x,x,,,,x,x,,x,x,x,x,x,x,x,,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,,x,x,x,,x,x,x,x,x,x,x,x,x,,,x,x,,x,,x,,x,x,,x
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evaluate,,,obtain from,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hallucinations,,,x,x,x,,,,x,x,x,,x,x,,,x,x,,x,,x,x,,,x,,,,,x,x,x,,,x,x,x,x,x,x,x,x,x,x,x,,x,x,,x,x,,,x,x,,x,x,x,,x
modify instruction templates,,,x,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paraphrasing task descriptions,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,
alter the order of examples,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
change prompt language,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,
risk aversion,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lost aversion,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
small probability under uncertainty,,,x,x,,,,,,,,,x,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evaluation parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Correctness and Soundness,,,,x,x,x,,,,x,x,,x,x,x,x,x,x,x,x,x,x,x,,,,,,,x,,,x,x,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,
Accuracy and Success Rate,,,,x,x,x,x,,,x,x,,x,x,x,x,,x,,x,x,,,,,,x,,,x,,,x,x,x,,x,,x,,,,,x,x,x,,,,x,x,,x,x,x,x,x,x,,x,x,x
Efficiency and Scalability,,,,x,x,,x,x,x,x,x,,x,x,x,x,x,x,x,x,,x,x,x,x,,,x,x,x,x,x,,x,x,x,,x,x,x,x,x,x,x,x,,x,,,x,x,x,,x,x,,,,x,,x,x
Interpretability and Explanation Quality,,,,x,x,,x,x,x,x,x,,x,x,x,,x,x,,x,,x,x,x,x,x,,,x,x,x,x,x,,,,x,x,x,,x,,,x,x,,,x,,,,,,,,,,,,,,
Generality and Coverage,,,,,x,,,,,x,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
Systematic Generalization (OOD - Out-of-Distribution),,x,,x,x,,,x,,x,x,,,x,x,x,x,x,x,x,x,x,x,x,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comparative Baselines,,,,,obtain from,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neural-only methods,,,,x,x,,,,,x,,,x,,x,x,,x,,x,x,x,,,,x,,,,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,,,,x,x,x,x,x,x,x,x,x,x,x,x
Symbolic-only methods,,,,,x,,,,,,,,x,,x,,,x,,x,,x,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heuristic explainers,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,